127.0.0.1 - - [19/Jan/2024:11:59:09 +0300] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [19/Jan/2024:11:59:09 +0300] "GET /VillageRegdSerevletCrud/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Jan/2024:11:59:09 +0300] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Jan/2024:11:59:58 +0300] "GET /VillageRegdSerevletCrud/getRegdForm HTTP/1.1" 200 4190
0:0:0:0:0:0:0:1 - - [19/Jan/2024:12:00:21 +0300] "GET /VillageRegdSerevletCrud/getPachayatByBlockId?blockId=2 HTTP/1.1" 200 67
0:0:0:0:0:0:0:1 - - [19/Jan/2024:12:00:49 +0300] "POST /VillageRegdSerevletCrud/saveVlg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2024:12:00:49 +0300] "GET /VillageRegdSerevletCrud/getRegdForm HTTP/1.1" 200 4440
0:0:0:0:0:0:0:1 - - [19/Jan/2024:12:01:06 +0300] "GET /VillageRegdSerevletCrud/getPachayatByBlockId?blockId=1 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [19/Jan/2024:12:01:15 +0300] "POST /VillageRegdSerevletCrud/saveVlg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2024:12:01:15 +0300] "GET /VillageRegdSerevletCrud/getRegdForm HTTP/1.1" 200 4515
0:0:0:0:0:0:0:1 - - [19/Jan/2024:12:01:21 +0300] "GET /VillageRegdSerevletCrud/getRegdForm?pageNo=1 HTTP/1.1" 200 4268
0:0:0:0:0:0:0:1 - - [19/Jan/2024:12:01:22 +0300] "GET /VillageRegdSerevletCrud/getRegdForm?pageNo=0 HTTP/1.1" 200 4515
0:0:0:0:0:0:0:1 - - [19/Jan/2024:12:01:29 +0300] "GET /VillageRegdSerevletCrud/getPachayatByBlockId?blockId=1 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [19/Jan/2024:12:01:34 +0300] "GET /VillageRegdSerevletCrud/blockFilter?blockfId=1 HTTP/1.1" 200 4375
0:0:0:0:0:0:0:1 - - [19/Jan/2024:12:01:51 +0300] "GET /VillageRegdSerevletCrud/getPachayatByBlockId?blockId=1 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [19/Jan/2024:12:02:01 +0300] "POST /VillageRegdSerevletCrud/saveVlg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2024:12:02:01 +0300] "GET /VillageRegdSerevletCrud/getRegdForm HTTP/1.1" 200 4515
0:0:0:0:0:0:0:1 - - [19/Jan/2024:12:02:10 +0300] "GET /VillageRegdSerevletCrud/getPachayatByBlockId?blockId=1 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [19/Jan/2024:12:02:11 +0300] "GET /VillageRegdSerevletCrud/blockFilter?blockfId=1 HTTP/1.1" 200 4635
